TECHNIQUE ATT&CK ID, CONGLOMERATE CVSS 3.1 RISK SCORES FROM CVE SCRAPING, LIST OF CVE ID MATCHING TECHNIQUE
T1574.007, {'baseScore': 6.9, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1213.002, {'baseScore': 0, 'attackComplexity': 'NONE', 'confidentialityImpact': 'NONE', 'integrityImpact': 'NONE', 'availabilityImpact': 'NONE', 'privilegesRequired': 'NONE'}
T1006, {'baseScore': 6.31, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'LOW', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1564.008, {'baseScore': 6.45, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1491.002, {'baseScore': 6.56, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'LOW', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1590.005, {'baseScore': 6.64, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'LOW', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1499.001, {'baseScore': 6.18, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'LOW', 'integrityImpact': 'LOW', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1014, {'baseScore': 0, 'attackComplexity': 'NONE', 'confidentialityImpact': 'NONE', 'integrityImpact': 'NONE', 'availabilityImpact': 'NONE', 'privilegesRequired': 'NONE'}
T1546.013, {'baseScore': 7.03, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'LOW', 'integrityImpact': 'LOW', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1059.007, {'baseScore': 6.38, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1590.002, {'baseScore': 4.4, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'NONE', 'integrityImpact': 'NONE', 'availabilityImpact': None, 'privilegesRequired': None}
T1123, {'baseScore': 7.03, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1543, {'baseScore': 6.91, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1133, {'baseScore': 7.59, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1546.006, {'baseScore': 6.47, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1539, {'baseScore': 7.37, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1053.007, {'baseScore': 7.58, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1568.002, {'baseScore': 6.75, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1036.007, {'baseScore': 6.72, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
T1548.002, {'baseScore': 6.72, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'HIGH', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1016.001, {'baseScore': 6.11, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'HIGH', 'integrityImpact': 'LOW', 'availabilityImpact': 'LOW', 'privilegesRequired': 'LOW'}
T1548.003, {'baseScore': 6.87, 'attackComplexity': 'HIGH', 'confidentialityImpact': 'LOW', 'integrityImpact': 'LOW', 'availabilityImpact': 'HIGH', 'privilegesRequired': 'LOW'}
